Skill group,Skill component,Stage,Task,Domain
ORGANISATIONAL SKILLS,Organising,Identification,Business Case Development,Entrepreneurship
RELATIONAL SKILLS,Communication,Identification,Business Case Development,Entrepreneurship
CONCEPTUAL SKILLS,Strategic thinking,Development,Change Management,Entrepreneurship
CRITICAL SELF-REFLECTION SKILLS,Empathy,Development,Change Management,Entrepreneurship
CRITICAL SELF-REFLECTION SKILLS,External self-awareness,Development,Change Management,Entrepreneurship
EVALUATIVE SKILLS,Counterfactual thinking,Development,Change Management,Entrepreneurship
RELATIONAL SKILLS,Active listening,Development,Change Management,Entrepreneurship
RELATIONAL SKILLS,Collaboration,Development,Change Management,Entrepreneurship
RELATIONAL SKILLS,Communication,Development,Change Management,Entrepreneurship
RELATIONAL SKILLS,Feedback,Development,Change Management,Entrepreneurship
RELATIONAL SKILLS,Influencing,Development,Change Management,Entrepreneurship
CONCEPTUAL SKILLS,Systems thinking,Development,Delivery design,Entrepreneurship
EVALUATIVE SKILLS,Decision making,Development,Delivery design,Entrepreneurship
ORGANISATIONAL SKILLS,Forecasting,Development,Delivery design,Entrepreneurship
ORGANISATIONAL SKILLS,Modelling,Development,Delivery design,Entrepreneurship
ORGANISATIONAL SKILLS,Organising,Development,Delivery design,Entrepreneurship
ORGANISATIONAL SKILLS,Prioritisation,Development,Delivery design,Entrepreneurship
ORGANISATIONAL SKILLS,Collaboration,Development,Delivery design,Entrepreneurship
RELATIONAL SKILLS,Active listening,Development,Delivery design,Entrepreneurship
RELATIONAL SKILLS,Communication,Development,Delivery design,Entrepreneurship
RELATIONAL SKILLS,Delegation,Development,Delivery design,Entrepreneurship
RELATIONAL SKILLS,Influencing,Development,Delivery design,Entrepreneurship
CONCEPTUAL SKILLS,Ability to learn,Identification,Feasibility Analysis,Entrepreneurship
EVALUATIVE SKILLS,Counterfactual thinking,Identification,Feasibility Analysis,Entrepreneurship
EVALUATIVE SKILLS,Critical analysis,Identification,Feasibility Analysis,Entrepreneurship
EVALUATIVE SKILLS,Decision making,Identification,Feasibility Analysis,Entrepreneurship
EVALUATIVE SKILLS,Evidence gathering,Identification,Feasibility Analysis,Entrepreneurship
EVALUATIVE SKILLS,Interpretation,Identification,Feasibility Analysis,Entrepreneurship
ORGANISATIONAL SKILLS,Technical skills,Identification,Feasibility Analysis,Entrepreneurship
CONCEPTUAL SKILLS,Strategic thinking,Development,Financial Management,Entrepreneurship
EVALUATIVE SKILLS,Critical analysis,Development,Financial Management,Entrepreneurship
EVALUATIVE SKILLS,Decision making,Development,Financial Management,Entrepreneurship
ORGANISATIONAL SKILLS,Forecasting,Development,Financial Management,Entrepreneurship
ORGANISATIONAL SKILLS,Modelling,Development,Financial Management,Entrepreneurship
ORGANISATIONAL SKILLS,Technical skills,Development,Financial Management,Entrepreneurship
ORGANISATIONAL SKILLS,Forecasting,Development,Funding,Entrepreneurship
ORGANISATIONAL SKILLS,Modelling,Development,Funding,Entrepreneurship
ORGANISATIONAL SKILLS,Organising,Development,Funding,Entrepreneurship
ORGANISATIONAL SKILLS,Prioritisation,Development,Funding,Entrepreneurship
CONCEPTUAL SKILLS,Strategic thinking,Development,Human Resource Management,Entrepreneurship
CRITICAL SELF-REFLECTION SKILLS,Empathy,Development,Human Resource Management,Entrepreneurship
EVALUATIVE SKILLS,Decision making,Development,Human Resource Management,Entrepreneurship
RELATIONAL SKILLS,Collaboration,Development,Human Resource Management,Entrepreneurship
RELATIONAL SKILLS,Communication,Development,Human Resource Management,Entrepreneurship
RELATIONAL SKILLS,Influencing,Development,Human Resource Management,Entrepreneurship
CONCEPTUAL SKILLS,Strategic thinking,Identification,Knowledge Management,Entrepreneurship
CONCEPTUAL SKILLS,Synthesis,Identification,Knowledge Management,Entrepreneurship
EVALUATIVE SKILLS,Critical analysis,Identification,Knowledge Management,Entrepreneurship
